Frame,Fuerza_X,Fuerza_Y,Fuerza_Z
716,0.0,17.0,0.1331
717,0.0,17.0,0.1331
718,0.0,17.0,0.1331
719,0.0,17.0,0.1331
720,0.0,17.0,0.1331
721,0.0,17.0,0.1331
722,0.0,17.0,0.1331
723,4.0,28.0,2.6
724,0.0,28.0,2.6
725,0.0,28.0,2.6
726,0.0,28.0,2.6
727,0.0,28.0,2.6
728,0.0,28.0,2.6
729,0.0,28.0,2.6
730,0.0,28.0,2.6
731,0.0,28.0,2.6
732,0.0,28.0,2.6
733,0.0,28.0,2.6
734,0.0,28.0,2.6
735,0.0,28.0,2.6
736,0.0,28.0,2.6
737,0.0,28.0,2.6
738,1.0,7.0,3.0
739,4.0,3.8,3.0
740,4.0,3.8,3.0
741,4.0,3.8,3.0
742,4.0,3.8,3.0
743,4.0,1.0,3.0
744,4.0,1.0,3.0
745,4.0,1.0,3.0
746,4.0,1.0,3.0
747,4.0,1.0,3.0
748,0.0,84.0,-0.7
749,0.0,84.0,-0.7
750,0.0,84.0,-0.7
751,0.0,84.0,-0.7
752,0.0,84.0,-0.7
753,0.0,84.0,-0.7
754,0.0,84.0,-0.7
755,0.0,84.0,-0.7
756,0.0,84.0,-0.7
757,0.0,84.0,-0.7
758,0.0,84.0,-0.7
759,0.0,84.0,-0.7
760,0.0,84.0,-0.7
761,0.0,84.0,-0.7
762,0.0,84.0,-0.7
763,0.0,3.0,4.0
764,1.0,3.0,4.0
765,1.0,3.0,4.0
766,1.0,4.0,4.0
767,1.0,4.0,4.0
768,0.0,11.4,4.0
769,0.0,11.4,4.0
770,0.0,11.4,4.0
771,0.0,11.4,4.0
772,0.0,11.4,4.0
773,0.0,6.0,0.6
774,0.0,6.0,0.6
775,0.0,6.0,0.6
776,0.0,6.0,0.6
777,0.0,6.0,0.6
778,0.0,6.0,0.6
779,0.0,6.0,0.6
780,0.0,6.0,0.6
781,0.0,6.0,0.6
782,0.0,6.0,0.6
783,3.0,-8.0,-6.0
784,3.0,5.0,-6.0
785,3.0,5.0,-6.0
786,3.0,5.0,-6.0
787,3.0,5.0,-6.0
788,3.0,5.0,-6.0
789,3.0,5.0,-6.0
790,3.0,5.0,-6.0
791,3.0,5.0,-6.0
792,3.0,5.0,-6.0
793,4.0,-8.0,-6.0
794,4.0,-8.0,-6.0
795,4.0,-8.0,-6.0
796,4.0,-8.0,-6.0
797,4.0,-8.0,-6.0
798,0.0,46.0,-1.2
799,0.0,46.0,-1.2
800,0.0,46.0,-1.2
801,0.0,46.0,-1.2
802,0.0,46.0,-1.2
803,0.0,-10.2,-1.2
804,0.0,-10.2,-1.2
805,0.0,-10.2,-1.2
806,0.0,-10.2,-1.2
807,0.0,-10.2,-1.2
808,0.0,-11.2,0.138
809,0.0,-11.2,0.138
810,0.0,-11.2,0.138
811,0.0,-11.2,0.138
812,0.0,-11.2,0.138
813,0.0,-11.2,2.0
