Frame,Rojo_X,Rojo_Y,Rojo_Z
498,941.0,616.0,22.4
499,94.0,616.0,22.4
500,941.0,616.0,22.4
501,941.0,616.0,22.4
502,941.0,616.0,22.4
503,941.0,616.0,22.4
504,941.0,616.0,22.4
505,941.0,616.0,22.4
506,941.0,616.0,22.4
507,941.0,616.0,22.4
508,-14.5,70.6,267.0
509,-14.5,70.6,267.0
510,-14.5,70.6,267.0
511,-14.5,70.6,267.0
512,-14.5,70.6,267.0
513,-14.5,70.6,267.0
514,-14.5,70.6,26.7
515,-14.5,70.6,26.7
516,-14.5,70.6,26.7
517,-14.5,70.6,26.7
518,-14.5,70.6,26.7
519,-14.5,70.6,26.7
520,-14.5,70.6,26.7
521,-14.5,70.6,26.7
522,-14.5,70.6,26.7
523,12.0,747.0,267.0
524,12.0,747.0,267.0
525,12.0,747.0,267.0
526,12.0,747.0,267.0
527,12.0,747.0,267.0
528,12.0,747.0,267.0
529,12.0,747.0,267.0
530,12.0,747.0,267.0
531,12.0,747.0,267.0
532,12.0,747.0,267.0
533,0.6,79.5,278.0
534,6.0,79.5,27.8
535,6.0,79.5,27.8
536,6.0,79.5,27.8
537,6.0,79.5,27.8
538,6.0,79.5,27.8
539,6.0,79.5,27.8
540,6.0,79.5,27.8
541,6.0,79.5,27.8
542,6.0,79.5,27.8
543,38.0,98.4,138.0
544,38.0,98.4,138.0
545,38.0,98.4,138.0
546,38.0,98.4,138.0
547,38.0,98.4,138.0
548,38.0,98.4,138.0
549,38.0,98.4,138.0
550,38.0,98.4,138.0
551,38.0,98.4,138.0
552,38.0,98.4,138.0
553,6.0,98.4,138.0
554,6.0,98.4,138.0
555,38.0,98.4,138.0
556,38.0,98.4,138.0
557,6.0,98.4,138.0
558,18.0,1216.0,63.0
559,18.0,1216.0,63.0
560,18.0,1216.0,63.0
561,18.0,1216.0,63.0
562,18.0,1216.0,63.0
563,16.0,1216.0,63.0
564,16.0,1216.0,63.0
565,16.0,1216.0,63.0
566,16.0,1216.0,63.0
567,16.0,1216.0,63.0
568,-5.9,136.8,9.0
569,-5.9,136.8,9.0
570,-5.9,136.8,9.0
571,-5.9,136.8,9.0
572,-5.9,136.8,9.0
573,-5.9,136.8,9.0
574,-5.9,136.8,9.0
575,-5.9,136.8,9.0
576,-5.9,136.8,9.0
577,-5.9,136.8,9.0
578,-5.9,136.8,9.0
579,-5.9,136.8,9.0
580,-5.9,136.8,9.0
581,-5.9,136.8,9.0
582,-5.9,136.8,9.0
583,15.0,1434.0,31.0
584,15.0,1434.0,31.0
585,15.0,1434.0,31.0
586,15.0,1434.0,31.0
587,15.0,1434.0,31.0
588,15.0,1434.0,31.0
589,15.0,1434.0,31.0
590,15.0,1434.0,31.0
591,15.0,1434.0,31.0
592,15.0,1434.0,31.0
593,28.0,48.9,9.0
594,28.0,48.9,9.0
595,28.0,48.9,9.0
596,28.0,48.9,9.0
597,28.0,48.9,9.0
598,28.0,48.9,9.0
599,28.0,48.9,9.0
600,28.0,48.9,9.0
601,28.0,48.9,9.0
602,28.0,48.9,9.0
603,28.0,7.0,63.0
604,28.0,7.0,63.0
605,28.0,7.0,63.0
606,28.0,7.0,63.0
607,28.0,7.0,63.0
608,28.0,7.0,63.0
609,28.0,7.0,63.0
610,28.0,7.0,63.0
611,28.0,7.0,63.0
612,28.0,7.0,63.0
613,268.0,7.0,63.0
614,268.0,7.0,63.0
615,28.0,63.0,0.0
616,28.0,63.0,0.0
617,28.0,63.0,0.0
618,60.0,74.0,84.0
619,60.0,74.0,84.0
620,60.0,74.0,84.0
621,60.0,74.0,84.0
622,60.0,74.0,84.0
623,60.0,74.0,84.0
624,60.0,74.0,84.0
625,60.0,74.0,84.0
626,60.0,74.0,84.0
627,60.0,74.0,84.0
628,60.0,74.0,84.0
629,60.0,74.0,84.0
630,60.0,74.0,84.0
631,60.0,74.0,84.0
632,60.0,74.0,84.0
633,5.0,42.6,9.5
634,5.0,42.6,85.0
635,5.0,42.6,85.0
636,5.0,42.6,85.0
637,5.0,42.6,85.0
638,5.0,42.6,85.0
639,5.0,42.6,85.0
640,5.0,42.6,85.0
641,5.0,42.6,85.0
642,5.0,42.6,85.0
643,28.0,48.9,9.0
644,28.0,48.9,9.0
645,28.0,48.9,9.0
646,28.0,48.9,9.0
647,28.0,48.9,9.0
648,28.0,48.9,9.0
649,28.0,48.9,9.0
650,28.0,48.9,9.0
651,28.0,48.9,9.0
652,28.0,48.9,9.0
653,6.0,40.0,-4.5
654,6.0,40.0,45.0
655,6.0,40.0,45.0
656,6.0,40.0,45.0
657,6.0,40.0,45.0
658,6.0,40.0,45.0
659,6.0,40.0,45.0
660,6.0,40.0,45.0
661,6.0,40.0,45.0
662,6.0,40.0,45.0
663,6.0,40.0,45.0
664,6.0,40.0,45.0
665,6.0,40.0,45.0
666,6.0,40.0,45.0
667,6.0,40.0,45.0
668,17.0,68.0,6.0
669,17.0,68.0,6.0
670,17.0,68.0,6.0
671,17.0,68.0,6.0
672,17.0,68.0,6.0
673,17.0,68.0,6.0
674,17.0,68.0,6.0
675,17.0,68.0,6.0
676,17.0,68.0,6.0
677,17.0,68.0,6.0
678,0.6,473.0,0.0
679,0.6,473.0,0.0
680,0.6,473.0,0.0
681,0.6,473.0,0.0
682,0.6,473.0,0.0
683,6.0,473.0,0.0
684,0.6,473.0,77.0
685,0.6,473.0,77.0
686,6.0,473.0,77.0
687,6.0,473.0,77.0
688,37.0,136.9,9.0
689,37.0,136.9,9.0
690,37.0,136.9,9.0
691,37.0,136.9,9.0
692,37.0,136.9,9.0
693,37.0,136.9,9.0
694,37.0,136.9,9.0
695,37.0,136.9,9.0
696,37.0,136.9,9.0
697,37.0,136.9,9.0
698,37.0,136.9,9.0
699,37.0,136.9,9.0
700,37.0,136.9,9.0
701,37.0,136.9,9.0
702,37.0,136.9,9.0
703,17.0,135.8,31.0
704,135.8,31.0,0.0
705,135.8,31.0,0.0
706,135.8,31.0,0.0
707,135.8,31.0,0.0
708,135.8,31.0,0.0
709,135.8,31.0,0.0
710,135.8,31.0,0.0
711,135.8,31.0,0.0
712,135.8,31.0,0.0
713,17.0,1334.0,41.0
714,17.0,1331.0,41.0
715,17.0,1331.0,41.0
716,17.0,1331.0,41.0
717,17.0,1331.0,41.0
718,17.0,1331.0,41.0
719,17.0,1331.0,41.0
720,17.0,1331.0,41.0
721,17.0,1331.0,41.0
722,17.0,1331.0,41.0
723,28.0,135.2,95.0
724,28.0,135.2,95.0
725,28.0,135.2,95.0
726,28.0,135.2,95.0
727,28.0,135.2,95.0
728,28.0,135.2,95.0
729,28.0,135.2,95.0
730,28.0,135.2,95.0
731,28.0,135.2,95.0
732,28.0,135.2,95.0
733,28.0,135.2,95.0
734,28.0,135.2,95.0
735,28.0,135.2,95.0
736,28.0,135.2,95.0
737,28.0,135.2,95.0
738,38.0,139.5,23.5
739,38.0,139.5,23.5
740,38.0,139.5,23.5
741,38.0,139.5,23.5
742,38.0,139.5,23.5
743,38.0,139.5,235.0
744,38.0,139.5,235.0
745,38.0,139.5,235.0
746,38.0,139.5,235.0
747,38.0,139.5,235.0
748,142.4,353.0,0.0
749,142.4,353.0,0.0
750,142.4,353.0,0.0
751,142.4,353.0,0.0
752,142.4,353.0,0.0
753,1424.0,353.0,0.0
754,142.4,353.0,0.0
755,142.4,353.0,0.0
756,142.4,353.0,0.0
757,142.4,353.0,0.0
758,142.4,353.0,0.0
759,142.4,353.0,0.0
760,142.4,353.0,0.0
761,142.4,353.0,0.0
762,142.4,353.0,0.0
763,114.0,1416.0,184.0
764,114.0,1416.0,184.0
765,114.0,1416.0,184.0
766,4.0,1416.0,184.0
767,4.0,1416.0,184.0
768,4.0,1416.0,184.0
769,4.0,1416.0,184.0
770,4.0,1416.0,184.0
771,4.0,1416.0,184.0
772,4.0,1416.0,184.0
773,6.0,11.0,14.2
774,6.0,1411.0,14.2
775,6.0,411.0,14.2
776,6.0,411.0,14.2
777,6.0,111.0,14.2
778,6.0,1411.0,14.2
779,6.0,411.0,14.2
780,6.0,411.0,14.2
781,6.0,111.0,14.2
782,6.0,1411.0,14.2
783,-8.0,45.2,-46.4
784,-8.0,45.2,-46.4
785,-8.0,45.2,-46.4
786,-8.0,45.2,-46.4
787,-8.0,45.2,-46.4
788,-8.0,45.2,-46.4
789,-8.0,45.2,-46.4
790,-8.0,45.2,-46.4
791,-8.0,45.2,-46.4
792,-8.0,45.2,-46.4
793,-8.0,45.2,-46.4
794,-8.0,45.2,-46.4
795,-8.0,45.2,-46.4
796,-8.0,45.2,-46.4
797,-8.0,45.2,-46.4
798,102.0,44.7,2.9
799,102.0,47.0,2.9
800,102.0,47.0,2.9
801,102.0,47.0,2.9
802,102.0,47.0,2.9
803,102.0,47.0,-52.9
804,102.0,47.0,529.0
805,102.0,47.0,529.0
806,102.0,47.0,529.0
807,102.0,47.0,529.0
808,12.0,1389.0,421.0
809,12.0,1389.0,421.0
810,12.0,1389.0,421.0
811,12.0,1389.0,421.0
812,12.0,1389.0,421.0
813,12.0,1389.0,421.0
